Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,Notes
2021,California,El Dorado,Surgical Site Infections (SSI),Gallbladder surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",1,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",1,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000118,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",4,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000118,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",4,0,0,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),All procedures,30000121,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",8,0,0.03,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,30000121,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",7,0,0.01,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,30000121,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",1,0,0.02,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),All procedures,30000122,Doctors Medical Center,Acute Care Hospital,Major Teaching,44,0,0.3,0,0,12.3,Same,Yes,¥ See Data Dictionary
2021,California,Stanislaus,Surgical Site Infections (SSI),Appendix surgery,30000122,Doctors Medical Center,Acute Care Hospital,Major Teaching,31,0,0.1,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000122,Doctors Medical Center,Acute Care Hospital,Major Teaching,1,0,0.15,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Cesarean section,30000122,Doctors Medical Center,Acute Care Hospital,Major Teaching,6,0,0.01,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000122,Doctors Medical Center,Acute Care Hospital,Major Teaching,3,0,0.04,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Spinal fusion,30000122,Doctors Medical Center,Acute Care Hospital,Major Teaching,1,0,0.01,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Thoracic surgery,30000122,Doctors Medical Center,Acute Care Hospital,Major Teaching,2,0,0,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),All procedures,30000123,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",57,2,0.83,2.41,0.29,8.72,Same,No,¥ See Data Dictionary
2021,California,Stanislaus,Surgical Site Infections (SSI),Appendix surgery,30000123,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",37,1,0.17,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000123,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",2,0,0.3,0,0,12.3,Same,Yes,¥ See Data Dictionary
2021,California,Stanislaus,Surgical Site Infections (SSI),Cesarean section,30000123,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Colon surgery,30000123,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",3,1,0.25,3.95,0.1,22.02,Same,No,¥ See Data Dictionary
2021,California,Stanislaus,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000123,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",4,0,0.07,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Gallbladder surgery,30000123,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",7,0,0.01,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Small bowel surgery,30000123,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.01,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Thoracic surgery,30000123,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",2,0,0.03,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000124,Mercy General Hospital,Acute Care Hospital,Major Teaching,2,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000124,Mercy General Hospital,Acute Care Hospital,Major Teaching,1,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000124,Mercy General Hospital,Acute Care Hospital,Major Teaching,1,0,0,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),All procedures,30000125,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",67,0,0.29,0,0,12.68,Same,Yes,¥ See Data Dictionary
2021,California,Stanislaus,Surgical Site Infections (SSI),Appendix surgery,30000125,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",60,0,0.28,0,0,13.41,Same,Yes,¥ See Data Dictionary
2021,California,Stanislaus,Surgical Site Infections (SSI),Cesarean section,30000125,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Colon surgery,30000125,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.01,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000125,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Gallbladder surgery,30000125,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000127,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,25,0,0.11,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000127,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,19,0,0.07,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000127,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,2,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000127,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,2,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000127,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,1,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000127,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,1,0,0.03,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000130,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,Major Teaching,16,0,0.11,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000130,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,Major Teaching,8,0,0.04,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000130,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,Major Teaching,1,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Laminectomy,30000130,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,Major Teaching,2,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000130,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,Major Teaching,1,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,30000130,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,Major Teaching,4,0,0.05,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),All procedures,30000131,Oak Valley Hospital District,Acute Care Hospital,"Community, <125 Beds",3,0,0.01,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Appendix surgery,30000131,Oak Valley Hospital District,Acute Care Hospital,"Community, <125 Beds",2,0,0.01,,,,,,
2021,California,Stanislaus,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000131,Oak Valley Hospital District,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000133,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,54,0,0.3,0,0,12.26,Same,Yes,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000133,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,40,0,0.24,0,0,15.44,Same,Yes,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000133,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,1,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000133,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,4,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000133,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,5,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000133,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,1,0,0.04,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000133,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,3,0,0,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),All procedures,30000134,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",72,0,0.27,0,0,13.71,Same,Yes,¥ See Data Dictionary
2021,California,Placer,Surgical Site Infections (SSI),Appendix surgery,30000134,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",63,0,0.2,0,0,18.35,Same,Yes,¥ See Data Dictionary
2021,California,Placer,Surgical Site Infections (SSI),Colon surgery,30000134,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.04,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000134,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",2,0,0.01,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Gallbladder surgery,30000134,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",2,0,0,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Laminectomy,30000134,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.01,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Spinal fusion,30000134,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",2,0,0.01,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Thoracic surgery,30000134,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,34,0,0.62,0,0,5.92,Same,Yes,¥ See Data Dictionary
2021,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,16,0,0.03,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,2,0,0.3,0,0,12.3,Same,Yes,¥ See Data Dictionary
2021,California,San Joaquin,Surgical Site Infections (SSI),Cardiac surgery,30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,1,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Cesarean section,30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,3,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Colon surgery,30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,1,0,0.11,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,3,0,0.09,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,2,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Small bowel surgery,30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,3,0,0.02,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Spinal fusion,30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,1,0,0.01,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Thoracic surgery,30000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,2,0,0.06,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000139,Adventist Health Lodi Memorial,Acute Care Hospital,"Community, 125-250 Beds",37,0,0.04,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000139,Adventist Health Lodi Memorial,Acute Care Hospital,"Community, 125-250 Beds",34,0,0.04,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Cesarean section,30000139,Adventist Health Lodi Memorial,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,30000139,Adventist Health Lodi Memorial,Acute Care Hospital,"Community, 125-250 Beds",2,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000141,Sutter Tracy Community Hospital,Acute Care Hospital,"Community, <125 Beds",8,0,0.01,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000141,Sutter Tracy Community Hospital,Acute Care Hospital,"Community, <125 Beds",8,0,0.01,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000143,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",29,0,0.18,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000143,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",23,0,0.13,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Cesarean section,30000143,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",2,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Colon surgery,30000143,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",1,0,0.04,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000143,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",1,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,30000143,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",2,0,0,,,,,,
2021,California,Yolo,Surgical Site Infections (SSI),All procedures,30000146,Woodland Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",6,0,0.01,,,,,,
2021,California,Yolo,Surgical Site Infections (SSI),Appendix surgery,30000146,Woodland Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0,,,,,,
2021,California,Yolo,Surgical Site Infections (SSI),Gallbladder surgery,30000146,Woodland Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0,,,,,,
2021,California,Yolo,Surgical Site Infections (SSI),Spinal fusion,30000146,Woodland Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,366,1,2.51,0.4,0.02,1.97,Same,Yes,
2021,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,147,0,0.88,0,0,4.17,Same,Yes,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,2,0,0.02,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,65,0,0.59,0,0,6.26,Same,Yes,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,5,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,11,0,0.17,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,32,1,0.11,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,9,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Laminectomy,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,19,0,0.12,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,7,0,0.02,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,24,0,0.18,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,31,0,0.39,0,0,9.36,Same,Yes,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,14,0,0.01,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000901,Mercy Hospital of Folsom,Acute Care Hospital,"Community, <125 Beds",5,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000901,Mercy Hospital of Folsom,Acute Care Hospital,"Community, <125 Beds",4,0,0,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000901,Mercy Hospital of Folsom,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000973,"Kaiser Foundation Hospital, Manteca",Acute Care Hospital,"Community, <125 Beds",14,0,0.02,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000973,"Kaiser Foundation Hospital, Manteca",Acute Care Hospital,"Community, <125 Beds",12,0,0.01,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000973,"Kaiser Foundation Hospital, Manteca",Acute Care Hospital,"Community, <125 Beds",2,0,0.01,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),All procedures,30001370,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,243,3,1.47,2.05,0.52,5.57,Same,No,
2021,California,Placer,Surgical Site Infections (SSI),Appendix surgery,30001370,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,107,0,0.56,0,0,6.64,Same,Yes,¥ See Data Dictionary
