Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,SIR_2015,Notes
2021,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, vaginal",,,,,2421,9,13.74,0.66,0.32,1.2,Same,Yes,0.95,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney surgery,,,,,7123,22,23.51,0.94,0.6,1.39,Same,No,0.97,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplant,,,,,2427,10,14.96,0.67,0.34,1.19,Same,Yes,0.79,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Knee prosthesis,,,,,39947,140,159.99,0.88,0.74,1.03,Same,No,0.89,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,,,,,32785,91,117.97,0.77,0.63,0.94,Better,No,0.97,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Liver transplant,,,,,891,17,43.67,0.39,0.23,0.61,Better,Yes,0.67,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,,,,,38652,236,300.02,0.79,0.69,0.89,Better,No,1.01,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Ovarian surgery,,,,,15144,7,11.53,0.61,0.27,1.2,Same,Yes,0.95,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Pacemaker surgery,,,,,16094,24,28.23,0.85,0.56,1.25,Same,No,0.87,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Rectal surgery,,,,,6300,32,112.08,0.29,0.2,0.4,Better,Yes,1.12,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Small bowel surgery,,,,,25141,398,516.75,0.77,0.7,0.85,Better,No,1.03,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spinal fusion,,,,,39919,279,322.52,0.87,0.77,0.97,Better,No,0.87,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spleen surgery,,,,,1818,11,11.24,0.98,0.52,1.7,Same,No,1.11,
2021,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Thoracic surgery,,,,,20691,54,82.83,0.65,0.5,0.84,Better,Yes,0.75,
2021,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1652,5,7.07,0.71,0.26,1.57,Same,No,,
2021,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",82,0,0.16,,,,,,0,
2021,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",6,0,0.05,,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",256,0,0.25,0,0,14.82,Same,Yes,0,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",36,0,0.7,0,0,5.25,Same,Yes,1.11,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",99,0,0.31,0,0,11.82,Same,Yes,0,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",145,1,0.28,3.61,0.09,20.11,Same,No,0,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Gastric surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",256,0,0.76,0,0,4.88,Same,Yes,0,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",141,3,0.82,3.65,0.75,10.67,Same,No,1.18,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",82,0,0.48,0,0,7.67,Same,Yes,0,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, vaginal",30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",34,0,0.14,,,,,,0,
2021,California,Sacramento,Surgical Site Infections (SSI),Kidney surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",12,0,0.04,,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Knee prosthesis,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",192,1,0.68,1.46,0.04,8.15,Same,No,0,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",105,0,0.69,0,0,5.32,Same,Yes,0,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Ovarian surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",55,0,0.03,,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Pacemaker surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",5,0,0.07,,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",69,0,1.43,0,0,2.1,Same,Yes,0,
2021,California,Sacramento,Surgical Site Infections (SSI),Spleen surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.01,,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",73,0,0.15,,,,,,,
2021,California,Amador,Surgical Site Infections (SSI),All procedures,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",343,2,2.06,0.97,0.16,3.2,Same,No,,
2021,California,Amador,Surgical Site Infections (SSI),Appendix surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",27,1,0.07,,,,,,,
2021,California,Amador,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.01,,,,,,,
2021,California,Amador,Surgical Site Infections (SSI),Cesarean section,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",79,0,0.1,,,,,,,
2021,California,Amador,Surgical Site Infections (SSI),Colon surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",32,0,0.64,0,0,5.76,Same,Yes,0,¥ See Data Dictionary
2021,California,Amador,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",28,1,0.17,,,,,,0,
2021,California,Amador,Surgical Site Infections (SSI),Gallbladder surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",36,0,0.12,,,,,,,
2021,California,Amador,Surgical Site Infections (SSI),Gastric surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",4,0,0.04,,,,,,,
2021,California,Amador,Surgical Site Infections (SSI),Hip prosthesis,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",39,0,0.18,,,,,,0,
2021,California,Amador,Surgical Site Infections (SSI),Knee prosthesis,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",27,0,0.05,,,,,,,
2021,California,Amador,Surgical Site Infections (SSI),Open reduction of fracture,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",39,0,0.19,,,,,,5.7,
2021,California,Amador,Surgical Site Infections (SSI),Ovarian surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0,,,,,,,
2021,California,Amador,Surgical Site Infections (SSI),Rectal surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.12,,,,,,,
2021,California,Amador,Surgical Site Infections (SSI),Small bowel surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",19,0,0.37,0,0,10.02,Same,Yes,1.18,¥ See Data Dictionary
2021,California,Amador,Surgical Site Infections (SSI),Thoracic surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0,,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),All procedures,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",964,1,4.63,0.22,0.01,1.07,Same,Yes,,
2021,California,Placer,Surgical Site Infections (SSI),Appendix surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",66,0,0.15,,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.09,,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Colon surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",69,0,1.06,0,0,2.81,Same,Yes,2.67,
2021,California,Placer,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",52,0,0.19,,,,,,0,
2021,California,Placer,Surgical Site Infections (SSI),Gallbladder surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",86,1,0.27,3.65,0.09,20.33,Same,No,0,¥ See Data Dictionary
2021,California,Placer,Surgical Site Infections (SSI),Gastric surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",15,0,0.13,,,,,,0,
2021,California,Placer,Surgical Site Infections (SSI),Hip prosthesis,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",217,0,0.94,0,0,3.93,Same,Yes,4.26,¥ See Data Dictionary
2021,California,Placer,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",4,0,0.02,,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),"Hysterectomy, vaginal",30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Kidney surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",8,0,0.03,,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Knee prosthesis,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",313,0,0.65,0,0,5.65,Same,Yes,5.04,¥ See Data Dictionary
2021,California,Placer,Surgical Site Infections (SSI),Laminectomy,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",58,0,0.27,0,0,13.76,Same,Yes,0,¥ See Data Dictionary
2021,California,Placer,Surgical Site Infections (SSI),Ovarian surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",5,0,0.01,,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Rectal surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",10,0,0.16,,,,,,,
2021,California,Placer,Surgical Site Infections (SSI),Small bowel surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",34,0,0.61,0,0,6.06,Same,Yes,0,¥ See Data Dictionary
2021,California,Placer,Surgical Site Infections (SSI),Spinal fusion,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01,,,,,,0,
2021,California,Placer,Surgical Site Infections (SSI),Thoracic surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",17,0,0.03,,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Abdominal aortic aneurysm repair,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,9,0,0.06,,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,7273,84,88.58,0.95,0.76,1.17,Same,No,,
2021,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,111,2,0.94,2.13,0.26,7.69,Same,No,0,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,134,4,5.04,0.79,0.25,1.91,Same,No,0.86,
2021,California,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,217,2,1.02,1.97,0.33,6.51,Same,No,1.03,
2021,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,696,2,3.19,0.63,0.11,2.07,Same,Yes,0,
2021,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,270,11,13.54,0.81,0.43,1.41,Same,No,0.74,
2021,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,95,1,1.25,0.8,0.04,3.95,Same,No,,
2021,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,11,0,0.13,,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,660,7,6.47,1.08,0.47,2.14,Same,No,0.76,
2021,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,224,1,1.9,0.53,0.03,2.59,Same,Yes,0.76,
2021,California,Sacramento,Surgical Site Infections (SSI),Gastric surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,152,3,1.72,1.74,0.44,4.74,Same,No,0.76,
2021,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,394,1,4.13,0.24,0.01,1.2,Same,Yes,0.34,
2021,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,247,3,4.03,0.75,0.19,2.03,Same,No,1.86,
2021,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, vaginal",30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,13,0,0.1,,,,,,0,
2021,California,Sacramento,Surgical Site Infections (SSI),Kidney surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,346,0,1.14,0,0,2.62,Same,Yes,2.15,
2021,California,Sacramento,Surgical Site Infections (SSI),Kidney transplant,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,272,0,1.78,0,0,1.68,Same,Yes,0.52,
2021,California,Sacramento,Surgical Site Infections (SSI),Knee prosthesis,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,269,0,1.75,0,0,1.71,Same,Yes,0,
2021,California,Sacramento,Surgical Site Infections (SSI),Laminectomy,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,513,2,2.37,0.84,0.14,2.79,Same,No,1.17,
2021,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,788,12,13.13,0.91,0.5,1.55,Same,No,0.34,
2021,California,Sacramento,Surgical Site Infections (SSI),Ovarian surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,342,0,0.28,0,0,13.22,Same,Yes,,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Pacemaker surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,19,0,0.05,,,,,,,
2021,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,63,0,1.94,0,0,1.54,Same,Yes,0,
2021,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,343,10,7.42,1.35,0.69,2.4,Same,No,1.21,
2021,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,695,21,12.68,1.66,1.05,2.49,Worse,No,0.7,
2021,California,Sacramento,Surgical Site Infections (SSI),Spleen surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,43,0,0.36,0,0,10.19,Same,Yes,2,¥ See Data Dictionary
2021,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,347,2,2.19,0.92,0.15,3.02,Same,No,0.77,
2021,California,El Dorado,Surgical Site Infections (SSI),All procedures,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",645,5,3.19,1.57,0.58,3.48,Same,No,,
2021,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",26,0,0.07,,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.05,,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",69,0,0.07,,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Colon surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",23,1,0.5,2,0.05,11.17,Same,No,0,¥ See Data Dictionary
2021,California,El Dorado,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",25,0,0.13,,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Gallbladder surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",42,0,0.12,,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Gastric surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.02,,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Hip prosthesis,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",80,2,0.36,5.51,0.67,19.9,Same,No,0,¥ See Data Dictionary
2021,California,El Dorado,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",18,0,0.09,,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Knee prosthesis,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",92,0,0.23,0,0,15.83,Same,Yes,0,¥ See Data Dictionary
2021,California,El Dorado,Surgical Site Infections (SSI),Laminectomy,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",15,0,0.04,,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Open reduction of fracture,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",96,1,0.61,1.64,0.04,9.12,Same,No,,¥ See Data Dictionary
2021,California,El Dorado,Surgical Site Infections (SSI),Ovarian surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",9,0,0.01,,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Small bowel surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",27,0,0.5,0,0,7.32,Same,Yes,,¥ See Data Dictionary
2021,California,El Dorado,Surgical Site Infections (SSI),Spinal fusion,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",109,1,0.35,2.88,0.07,16.06,Same,No,0,¥ See Data Dictionary
2021,California,El Dorado,Surgical Site Infections (SSI),Spleen surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.02,,,,,,,
2021,California,El Dorado,Surgical Site Infections (SSI),Thoracic surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",6,0,0.02,,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",734,3,4.41,0.68,0.17,1.85,Same,Yes,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",20,0,0.05,,,,,,0,
2021,California,San Joaquin,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",7,0,0.06,,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Cardiac surgery,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",21,0,0.05,,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Colon surgery,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",17,2,0.36,5.5,0.67,19.85,Same,No,0,¥ See Data Dictionary
2021,California,San Joaquin,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",42,1,0.33,3.07,0.08,17.09,Same,No,,¥ See Data Dictionary
2021,California,San Joaquin,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",4,0,0.02,,,,,,,
2021,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",26,0,0.11,,,,,,0,
2021,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",74,0,0.24,0,0,15.57,Same,Yes,0,¥ See Data Dictionary
2021,California,San Joaquin,Surgical Site Infections (SSI),Gastric surgery,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",38,0,0.16,,,,,,1.12,
2021,California,San Joaquin,Surgical Site Infections (SSI),Hip prosthesis,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",96,0,0.72,0,0,5.16,Same,Yes,3.96,¥ See Data Dictionary
2021,California,San Joaquin,Surgical Site Infections (SSI),Knee prosthesis,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",109,0,0.54,0,0,6.78,Same,Yes,0.65,¥ See Data Dictionary
2021,California,San Joaquin,Surgical Site Infections (SSI),Laminectomy,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",36,0,0.15,,,,,,0,
2021,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",36,0,0.27,0,0,13.82,Same,Yes,0,¥ See Data Dictionary
2021,California,San Joaquin,Surgical Site Infections (SSI),Pacemaker surgery,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",127,0,0.22,0,0,16.77,Same,Yes,0,¥ See Data Dictionary
2021,California,San Joaquin,Surgical Site Infections (SSI),Small bowel surgery,30000117,Dameron Hospital Association,Acute Care Hospital,"Community, >250 Beds",26,0,0.53,0,0,6.91,Same,Yes,1.82,¥ See Data Dictionary
